regime,signal,mean_rank_ic,std_rank_ic,ic_information_ratio,n_days,n_observations
0,liquidity_adjusted_momentum_z,0.09690295159386068,0.16025161842324667,0.6046924988796468,125,15000
1,liquidity_adjusted_momentum_z,0.046925902906407864,0.1651111796286117,0.28420790773804266,79,9480
2,liquidity_adjusted_momentum_z,0.011622563335904173,0.12892920496083735,0.09014686268665477,152,18240
3,liquidity_adjusted_momentum_z,0.06713074954167667,0.17167028069412962,0.391044677449358,83,9960
0,momentum_20d_vol_adj_z,0.10994224598930481,0.16613817207219325,0.6617518696517908,125,15000
1,momentum_20d_vol_adj_z,0.06622690921750016,0.15488233827521253,0.42759497277101194,79,9480
2,momentum_20d_vol_adj_z,0.02366735080287008,0.12946273671263747,0.1828120693555507,152,18240
3,momentum_20d_vol_adj_z,0.08320465694990531,0.17577741102688205,0.47335238620155023,83,9960
0,momentum_20d_z,0.10599030488228348,0.17061729401139478,0.6212166562388737,125,15000
1,momentum_20d_z,0.06834388112395287,0.1638691543830497,0.417063732227462,79,9480
2,momentum_20d_z,0.026150619012285204,0.13252273071930856,0.1973293100009677,152,18240
3,momentum_20d_z,0.08573721233987969,0.17920053201050146,0.4784428448842738,83,9960
0,momentum_60d_z,0.07556169178415165,0.12716579527574695,0.5941982403389472,125,15000
1,momentum_60d_z,0.0277121916870106,0.12001651049813522,0.23090316133996566,79,9480
2,momentum_60d_z,0.007788324116075308,0.11224018779602893,0.06938979940258849,152,18240
3,momentum_60d_z,0.06080693354709204,0.1410674943307699,0.4310485121718698,83,9960
0,reversal_5d_z,-0.07163291895270503,0.15965497370720227,-0.44867326892098924,125,15000
1,reversal_5d_z,-0.032787614470414166,0.13996683182998645,-0.23425274432331444,79,9480
2,reversal_5d_z,-0.013156615408233758,0.12452842654338414,-0.10565150282092545,152,18240
3,reversal_5d_z,-0.06218228006128269,0.15799564558474993,-0.393569581181449,83,9960
