asset,sector,rows,first_date,last_date,missing_open,missing_high,missing_low,missing_close,missing_volume,zero_volume_rows
AAPL,Technology,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
AMZN,ConsumerDiscretionary,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
BAC,Financials,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
CAT,Industrials,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
COP,Energy,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
CVX,Energy,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
GOOGL,CommunicationServices,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
GS,Financials,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
HD,ConsumerDiscretionary,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
HON,Industrials,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
JNJ,Healthcare,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
JPM,Financials,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
KO,ConsumerStaples,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
MCD,ConsumerDiscretionary,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
META,CommunicationServices,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
MRK,Healthcare,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
MSFT,Technology,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
NFLX,CommunicationServices,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
NVDA,Technology,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
PG,ConsumerStaples,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
UNH,Healthcare,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
UPS,Industrials,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
WMT,ConsumerStaples,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
XOM,Energy,2135,2018-01-02,2026-07-01,0,0,0,0,0,0
