regime,signal,mean_rank_ic,std_rank_ic,ic_information_ratio,n_days,n_observations
0,liquidity_adjusted_momentum_z,0.010641957709669757,0.27856763199351103,0.038202420121508054,915,21960
1,liquidity_adjusted_momentum_z,0.006378404204491161,0.29442296629835235,0.021664085124485942,364,8736
2,liquidity_adjusted_momentum_z,-0.01104347826086957,0.31118882669064146,-0.03548802949743467,490,11760
3,liquidity_adjusted_momentum_z,0.024762845849802373,0.21933653368504802,0.11289886565527699,44,1056
0,momentum_20d_vol_adj_z,0.000290805416963645,0.27402624337043496,0.0010612319951068612,915,21960
1,momentum_20d_vol_adj_z,0.003994266602962259,0.29131165158242806,0.01371131769452092,364,8736
2,momentum_20d_vol_adj_z,-0.007648624667258205,0.31049318694357486,-0.024633792266263704,490,11760
3,momentum_20d_vol_adj_z,0.016620553359683796,0.31152954984519454,0.053351450505876225,44,1056
0,momentum_20d_z,0.0036521739130434753,0.285806757225345,0.012778472939196152,915,21960
1,momentum_20d_z,0.0023196368848542753,0.3003151851450148,0.0077240079742693655,364,8736
2,momentum_20d_z,-0.012000000000000002,0.3258165439345466,-0.03683054228949984,490,11760
3,momentum_20d_z,0.02881422924901185,0.3278467963896981,0.08788931161237139,44,1056
0,momentum_60d_z,0.022058446186742693,0.31220397244562265,0.07065395745592144,915,21960
1,momentum_60d_z,0.01985905398948877,0.32922673638184197,0.060320295391975545,364,8736
2,momentum_60d_z,-0.0013345164152617575,0.35295286756399097,-0.0037810045983542187,490,11760
3,momentum_60d_z,0.03405138339920948,0.3228268413513299,0.10547878626409392,44,1056
0,reversal_5d_z,-0.017727726300784032,0.30286215943841005,-0.05853397576526604,915,21960
1,reversal_5d_z,0.01236405078911874,0.3157173291738622,0.039161774304475976,364,8736
2,reversal_5d_z,0.01870984915705412,0.3368535328646848,0.05554298035095844,490,11760
3,reversal_5d_z,0.09654150197628457,0.33050456868507566,0.292103381082986,44,1056
