signal,regime,mean_rank_ic,std_rank_ic,hac_max_lag,hac_se_mean,hac_t_stat,ci95_low,ci95_high,n_ic_days,n_assigned_days,ic_day_coverage,minimum_days,inference_eligible,inference_status
liquidity_adjusted_momentum_z,0,0.010641957709669757,0.27856763199351103,9,0.017225996394990003,0.6177847403221829,-0.023120995224510648,0.04440491064385016,915,915,1.0,60,True,eligible
liquidity_adjusted_momentum_z,1,0.006378404204491161,0.29442296629835235,9,0.022167843864598764,0.2877322775931871,-0.03707056977012242,0.04982737817910474,364,365,0.9972602739726028,60,True,eligible
liquidity_adjusted_momentum_z,2,-0.01104347826086957,0.31118882669064146,9,0.02231754467333434,-0.49483392651453467,-0.05478586582060488,0.032698909298865736,490,499,0.9819639278557114,60,True,eligible
liquidity_adjusted_momentum_z,3,0.024762845849802373,0.21933653368504802,9,,,,,44,44,1.0,60,False,insufficient_sample
momentum_20d_vol_adj_z,0,0.000290805416963645,0.27402624337043496,9,0.016461279209958456,0.017666027849629007,-0.03197330183455493,0.03255491266848221,915,915,1.0,60,True,eligible
momentum_20d_vol_adj_z,1,0.003994266602962259,0.29131165158242806,9,0.021511843586856375,0.18567755882172438,-0.038168946827276236,0.046157480033200755,364,365,0.9972602739726028,60,True,eligible
momentum_20d_vol_adj_z,2,-0.007648624667258205,0.31049318694357486,9,0.02354648178929531,-0.3248308913281227,-0.05379972897427702,0.038502479639760605,490,499,0.9819639278557114,60,True,eligible
momentum_20d_vol_adj_z,3,0.016620553359683796,0.31152954984519454,9,,,,,44,44,1.0,60,False,insufficient_sample
momentum_20d_z,0,0.0036521739130434753,0.285806757225345,9,0.01742598050305937,0.2095821186304143,-0.030502747872952887,0.03780709569903984,915,915,1.0,60,True,eligible
momentum_20d_z,1,0.0023196368848542753,0.3003151851450148,9,0.021879198137103394,0.1060201964586886,-0.04056359146386838,0.045202865233576923,364,365,0.9972602739726028,60,True,eligible
momentum_20d_z,2,-0.012000000000000002,0.3258165439345466,9,0.02489074355710059,-0.4821069315374774,-0.06078585737191716,0.036785857371917155,490,499,0.9819639278557114,60,True,eligible
momentum_20d_z,3,0.02881422924901185,0.3278467963896981,9,,,,,44,44,1.0,60,False,insufficient_sample
momentum_60d_z,0,0.022058446186742693,0.31220397244562265,9,0.020055080485775294,1.0998931768131446,-0.017249511565376886,0.06136640393886227,915,915,1.0,60,True,eligible
momentum_60d_z,1,0.01985905398948877,0.32922673638184197,9,0.025615945091861502,0.775261420895153,-0.030348198390559772,0.07006630636953731,364,365,0.9972602739726028,60,True,eligible
momentum_60d_z,2,-0.0013345164152617575,0.35295286756399097,9,0.027138623966494257,-0.049174063390589405,-0.0545262193895905,0.05185718655906699,490,499,0.9819639278557114,60,True,eligible
momentum_60d_z,3,0.03405138339920948,0.3228268413513299,9,,,,,44,44,1.0,60,False,insufficient_sample
reversal_5d_z,0,-0.017727726300784032,0.30286215943841005,9,0.015396685562412043,-1.151398866263968,-0.047905230003111636,0.012449777401543571,915,915,1.0,60,True,eligible
reversal_5d_z,1,0.01236405078911874,0.3157173291738622,9,0.020777167474978268,0.5950787470914234,-0.028359197461838664,0.05308729904007614,364,365,0.9972602739726028,60,True,eligible
reversal_5d_z,2,0.01870984915705412,0.3368535328646848,9,0.02155576386537703,0.8679743048728591,-0.023539448019084856,0.0609591463331931,490,499,0.9819639278557114,60,True,eligible
reversal_5d_z,3,0.09654150197628457,0.33050456868507566,9,,,,,44,44,1.0,60,False,insufficient_sample
