signal,offset,horizon,mean_rank_ic,std_rank_ic,n_days
liquidity_adjusted_momentum_z,0,10,-0.006927116152068894,0.2794592228579828,207
liquidity_adjusted_momentum_z,1,10,-0.01784078975005251,0.28866538828147437,207
liquidity_adjusted_momentum_z,2,10,0.0020919974795211094,0.29869682214208243,207
liquidity_adjusted_momentum_z,3,10,0.004095778197857598,0.29331373909657005,207
liquidity_adjusted_momentum_z,4,10,0.0012916842549599002,0.29121883144395294,206
liquidity_adjusted_momentum_z,5,10,0.013461376108062473,0.28408766395400653,206
liquidity_adjusted_momentum_z,6,10,0.03308146897425074,0.28798615116469295,206
liquidity_adjusted_momentum_z,7,10,0.02129590544533558,0.2792856625005508,206
liquidity_adjusted_momentum_z,8,10,0.009734065006331791,0.2839536459415763,206
liquidity_adjusted_momentum_z,9,10,0.005023216547066268,0.2814727916973112,206
momentum_20d_vol_adj_z,0,10,-0.01685780298256669,0.2831883595232382,207
momentum_20d_vol_adj_z,1,10,-0.02687250577609745,0.2806202610283177,207
momentum_20d_vol_adj_z,2,10,-0.010905272001680325,0.29053226690539435,207
momentum_20d_vol_adj_z,3,10,-0.004305818105440032,0.28079606713929534,207
momentum_20d_vol_adj_z,4,10,-0.0017517940059096678,0.2811196530398173,206
momentum_20d_vol_adj_z,5,10,0.013976361333896155,0.2845666989018642,206
momentum_20d_vol_adj_z,6,10,0.0158547910510764,0.28649692823982137,206
momentum_20d_vol_adj_z,7,10,0.005998311523849723,0.2807983117103261,206
momentum_20d_vol_adj_z,8,10,0.0026255804136766595,0.28331539943258655,206
momentum_20d_vol_adj_z,9,10,-0.006517517940059093,0.2793036894719307,206
momentum_20d_z,0,10,-0.013425750892669603,0.29269655281333745,207
momentum_20d_z,1,10,-0.023772316740180634,0.30114347831055394,207
momentum_20d_z,2,10,-0.009157739970594408,0.30819022676146896,207
momentum_20d_z,3,10,-0.0027851291745431724,0.295308552319671,207
momentum_20d_z,4,10,-0.001363444491346558,0.2922231473221427,206
momentum_20d_z,5,10,0.009649641198818061,0.29239205648727856,206
momentum_20d_z,6,10,0.02508231321232587,0.30024595956706135,206
momentum_20d_z,7,10,0.009953566905867454,0.2884220740088856,206
momentum_20d_z,8,10,0.006601941747572813,0.29199729391003376,206
momentum_20d_z,9,10,-0.0030519206416209396,0.29130746571245775,206
momentum_60d_z,0,10,0.012636000840159624,0.3399286724617992,207
momentum_60d_z,1,10,-0.0011636210880067279,0.33102234052408946,207
momentum_60d_z,2,10,0.006057550934677582,0.31070006485948337,207
momentum_60d_z,3,10,0.009434992648603237,0.3231090384408122,207
momentum_60d_z,4,10,0.00334740396791895,0.3147284822781504,206
momentum_60d_z,5,10,0.012097931616715919,0.3159032472814858,206
momentum_60d_z,6,10,0.03242296327564373,0.31589330889817296,206
momentum_60d_z,7,10,0.02321654706627269,0.31327800417089063,206
momentum_60d_z,8,10,0.00931194596876319,0.32208138927432156,206
momentum_60d_z,9,10,0.015930772477838744,0.34180761730457415,206
reversal_5d_z,0,10,0.02446124763705103,0.3223005123638691,207
reversal_5d_z,1,10,0.018801057174228527,0.3209161996627245,207
reversal_5d_z,2,10,0.004204998949800456,0.3230195530282784,207
reversal_5d_z,3,10,0.012854442344045376,0.32006831873781,207
reversal_5d_z,4,10,0.03808780075981426,0.312985294697781,206
reversal_5d_z,5,10,0.002963275643731526,0.29300127608846765,206
reversal_5d_z,6,10,-0.03247361756015196,0.30355861029279735,206
reversal_5d_z,7,10,0.003866610384128331,0.3124273004474869,206
reversal_5d_z,8,10,-0.0005909666525960309,0.2930941729477739,206
reversal_5d_z,9,10,0.017230899113550018,0.3119042957323793,206
