regime_model_id,fit_start_date,fit_end_date,assignment_start_date,assignment_end_date,n_train_observations,n_assignment_observations,n_regimes,pca_components,random_state,expanding_window,mean_match_distance,max_match_distance
0,2018-03-29,2019-03-29,2019-04-01,2019-04-29,252,20,4,3,42,True,0.0,0.0
1,2018-03-29,2019-04-29,2019-04-30,2019-05-28,272,20,4,3,42,True,0.025306870961353853,0.06127205475901096
2,2018-03-29,2019-05-28,2019-05-29,2019-06-25,292,20,4,3,42,True,0.2722144403282714,0.5763111762147687
3,2018-03-29,2019-06-25,2019-06-26,2019-07-24,312,20,4,3,42,True,0.2612826431126449,0.5600287670159556
4,2018-03-29,2019-07-24,2019-07-25,2019-08-21,332,20,4,3,42,True,0.25209111220262165,0.5256225919905528
5,2018-03-29,2019-08-21,2019-08-22,2019-09-19,352,20,4,3,42,True,0.06752606499781445,0.18352537138282685
6,2018-03-29,2019-09-19,2019-09-20,2019-10-17,372,20,4,3,42,True,0.2242456140639651,0.4537923125242471
7,2018-03-29,2019-10-17,2019-10-18,2019-11-14,392,20,4,3,42,True,0.5333021969046501,1.0164470629103894
8,2018-03-29,2019-11-14,2019-11-15,2019-12-13,412,20,4,3,42,True,0.5029418845472341,0.969580993522844
9,2018-03-29,2019-12-13,2019-12-16,2020-01-14,432,20,4,3,42,True,0.26798069977187244,0.395638254470157
10,2018-03-29,2020-01-14,2020-01-15,2020-02-12,452,20,4,3,42,True,0.16294904383388056,0.3660529515689217
11,2018-03-29,2020-02-12,2020-02-13,2020-03-12,472,20,4,3,42,True,0.07174226389218694,0.14581842576209975
12,2018-03-29,2020-03-12,2020-03-13,2020-04-09,492,20,4,3,42,True,0.23898159571553634,0.6050841359834455
13,2018-03-29,2020-04-09,2020-04-13,2020-05-08,512,20,4,3,42,True,1.9422746240921713,4.0869720686831545
14,2018-03-29,2020-05-08,2020-05-11,2020-06-08,532,20,4,3,42,True,0.16464146128436052,0.39110577436605665
15,2018-03-29,2020-06-08,2020-06-09,2020-07-07,552,20,4,3,42,True,0.8609575076735412,1.490855367894398
16,2018-03-29,2020-07-07,2020-07-08,2020-08-04,572,20,4,3,42,True,0.09176815335020713,0.1686311585445546
17,2018-03-29,2020-08-04,2020-08-05,2020-09-01,592,20,4,3,42,True,0.07455730378767554,0.1285276529135315
18,2018-03-29,2020-09-01,2020-09-02,2020-09-30,612,20,4,3,42,True,0.024283167861831406,0.064794856929251
19,2018-03-29,2020-09-30,2020-10-01,2020-10-28,632,20,4,3,42,True,0.030209746687155842,0.0491688520101405
20,2018-03-29,2020-10-28,2020-10-29,2020-11-25,652,20,4,3,42,True,0.06588263552909361,0.14340776214251674
21,2018-03-29,2020-11-25,2020-11-27,2020-12-24,672,20,4,3,42,True,0.05771199624571987,0.14068627088661154
22,2018-03-29,2020-12-24,2020-12-28,2021-01-26,692,20,4,3,42,True,0.009587295008514,0.016569913779311475
23,2018-03-29,2021-01-26,2021-01-27,2021-02-24,712,20,4,3,42,True,0.017980123368526363,0.05164533035369185
24,2018-03-29,2021-02-24,2021-02-25,2021-03-24,732,20,4,3,42,True,0.008042422015020645,0.013193504887064311
