raw_regime,regime,stress_score,mapping_method,match_distance,regime_model_id,fit_start_date,fit_end_date,assignment_start_date,assignment_end_date
0,2,2.198564470558198,canonical_stress_order,0.0,0,2018-03-29,2019-03-29,2019-04-01,2019-04-29
1,1,1.4308413151408474,canonical_stress_order,0.0,0,2018-03-29,2019-03-29,2019-04-01,2019-04-29
2,3,7.766460066307426,canonical_stress_order,0.0,0,2018-03-29,2019-03-29,2019-04-01,2019-04-29
3,0,-2.6344049113240238,canonical_stress_order,0.0,0,2018-03-29,2019-03-29,2019-04-01,2019-04-29
0,1,1.5069354124689534,sequential_centroid_match,0.06127205475901096,1,2018-03-29,2019-04-29,2019-04-30,2019-05-28
1,0,-2.5211083572381896,sequential_centroid_match,0.02878507877996071,1,2018-03-29,2019-04-29,2019-04-30,2019-05-28
2,3,8.061222068440689,sequential_centroid_match,0.007796933202980046,1,2018-03-29,2019-04-29,2019-04-30,2019-05-28
3,2,2.375221590142087,sequential_centroid_match,0.003373417103463694,1,2018-03-29,2019-04-29,2019-04-30,2019-05-28
0,2,2.63524834238158,sequential_centroid_match,0.19524762200029197,2,2018-03-29,2019-05-28,2019-05-29,2019-06-25
1,0,-2.8503422908655023,sequential_centroid_match,0.13355830754084166,2,2018-03-29,2019-05-28,2019-05-29,2019-06-25
2,1,0.12048338971700889,sequential_centroid_match,0.5763111762147687,2,2018-03-29,2019-05-28,2019-05-29,2019-06-25
3,3,8.059537241206405,sequential_centroid_match,0.1837406555571833,2,2018-03-29,2019-05-28,2019-05-29,2019-06-25
0,0,-2.2412967014934653,sequential_centroid_match,0.1274208356978702,3,2018-03-29,2019-06-25,2019-06-26,2019-07-24
1,1,1.5063957945589368,sequential_centroid_match,0.5600287670159556,3,2018-03-29,2019-06-25,2019-06-26,2019-07-24
2,2,2.7628287354143497,sequential_centroid_match,0.18243405019031642,3,2018-03-29,2019-06-25,2019-06-26,2019-07-24
3,3,8.212718335722947,sequential_centroid_match,0.17524691954643715,3,2018-03-29,2019-06-25,2019-06-26,2019-07-24
0,1,0.03747802138869205,sequential_centroid_match,0.5256225919905528,4,2018-03-29,2019-07-24,2019-07-25,2019-08-21
1,3,8.195216622390175,sequential_centroid_match,0.16433384739248671,4,2018-03-29,2019-07-24,2019-07-25,2019-08-21
2,2,2.896842778781592,sequential_centroid_match,0.18360019034868882,4,2018-03-29,2019-07-24,2019-07-25,2019-08-21
3,0,-2.6274740302841826,sequential_centroid_match,0.1348078190787583,4,2018-03-29,2019-07-24,2019-07-25,2019-08-21
0,0,-2.6043942317161917,sequential_centroid_match,0.014425723257779388,5,2018-03-29,2019-08-21,2019-08-22,2019-09-19
1,1,0.3279964534713046,sequential_centroid_match,0.05113255327434135,5,2018-03-29,2019-08-21,2019-08-22,2019-09-19
2,3,8.260623601744363,sequential_centroid_match,0.18352537138282685,5,2018-03-29,2019-08-21,2019-08-22,2019-09-19
3,2,2.866414852384904,sequential_centroid_match,0.021020612076310254,5,2018-03-29,2019-08-21,2019-08-22,2019-09-19
0,3,7.943061021056328,sequential_centroid_match,0.06883831101469141,6,2018-03-29,2019-09-19,2019-09-20,2019-10-17
1,0,-2.2453933033172486,sequential_centroid_match,0.12700167789895062,6,2018-03-29,2019-09-19,2019-09-20,2019-10-17
2,1,1.5647680747967467,sequential_centroid_match,0.4537923125242471,6,2018-03-29,2019-09-19,2019-09-20,2019-10-17
3,2,2.246379167735988,sequential_centroid_match,0.24735015481797126,6,2018-03-29,2019-09-19,2019-09-20,2019-10-17
0,0,-2.7781518704822794,sequential_centroid_match,0.26861640865741876,7,2018-03-29,2019-10-17,2019-10-18,2019-11-14
1,3,5.2395552465482655,sequential_centroid_match,0.676666877898583,7,2018-03-29,2019-10-17,2019-10-18,2019-11-14
2,1,-0.30924878948507073,sequential_centroid_match,1.0164470629103894,7,2018-03-29,2019-10-17,2019-10-18,2019-11-14
3,2,2.2204127015259707,sequential_centroid_match,0.17147843815220934,7,2018-03-29,2019-10-17,2019-10-18,2019-11-14
0,1,1.4330168994923456,sequential_centroid_match,0.969580993522844,8,2018-03-29,2019-11-14,2019-11-15,2019-12-13
1,2,2.1140127728878073,sequential_centroid_match,0.12747657559008846,8,2018-03-29,2019-11-14,2019-11-15,2019-12-13
2,3,6.7393817201050705,sequential_centroid_match,0.6470384744235017,8,2018-03-29,2019-11-14,2019-11-15,2019-12-13
3,0,-2.1506227433684706,sequential_centroid_match,0.2676714946525019,8,2018-03-29,2019-11-14,2019-11-15,2019-12-13
0,3,8.633345410761061,sequential_centroid_match,0.36586995185539106,9,2018-03-29,2019-12-13,2019-12-16,2020-01-14
1,0,-2.3786554737179704,sequential_centroid_match,0.10475188052628409,9,2018-03-29,2019-12-13,2019-12-16,2020-01-14
2,2,2.8256322061599173,sequential_centroid_match,0.2056627122356575,9,2018-03-29,2019-12-13,2019-12-16,2020-01-14
3,1,0.6085111078531786,sequential_centroid_match,0.395638254470157,9,2018-03-29,2019-12-13,2019-12-16,2020-01-14
0,1,0.36118945325215723,sequential_centroid_match,0.07601177357552093,10,2018-03-29,2020-01-14,2020-01-15,2020-02-12
1,2,2.4129023860266763,sequential_centroid_match,0.15918967344040094,10,2018-03-29,2020-01-14,2020-01-15,2020-02-12
2,3,7.46800934753676,sequential_centroid_match,0.3660529515689217,10,2018-03-29,2020-01-14,2020-01-15,2020-02-12
3,0,-2.39366105264451,sequential_centroid_match,0.05054177675067873,10,2018-03-29,2020-01-14,2020-01-15,2020-02-12
0,2,2.6136346717351095,sequential_centroid_match,0.03013660315467544,11,2018-03-29,2020-02-12,2020-02-13,2020-03-12
1,0,-2.361678841778792,sequential_centroid_match,0.0314240804977171,11,2018-03-29,2020-02-12,2020-02-13,2020-03-12
