regime_model_id,fit_start_date,fit_end_date,assignment_start_date,assignment_end_date,n_train_observations,n_assignment_observations,n_regimes,pca_components,random_state,expanding_window
0,2021-03-25,2022-03-11,2022-03-14,2022-04-08,252,20,4,3,42,True
1,2021-03-25,2022-04-08,2022-04-11,2022-05-06,272,20,4,3,42,True
2,2021-03-25,2022-05-06,2022-05-09,2022-06-03,292,20,4,3,42,True
3,2021-03-25,2022-06-03,2022-06-06,2022-07-01,312,20,4,3,42,True
4,2021-03-25,2022-07-01,2022-07-04,2022-07-29,332,20,4,3,42,True
5,2021-03-25,2022-07-29,2022-08-01,2022-08-26,352,20,4,3,42,True
6,2021-03-25,2022-08-26,2022-08-29,2022-09-23,372,20,4,3,42,True
7,2021-03-25,2022-09-23,2022-09-26,2022-10-21,392,20,4,3,42,True
8,2021-03-25,2022-10-21,2022-10-24,2022-11-18,412,20,4,3,42,True
9,2021-03-25,2022-11-18,2022-11-21,2022-12-16,432,20,4,3,42,True
10,2021-03-25,2022-12-16,2022-12-19,2023-01-13,452,20,4,3,42,True
11,2021-03-25,2023-01-13,2023-01-16,2023-02-10,472,20,4,3,42,True
12,2021-03-25,2023-02-10,2023-02-13,2023-03-10,492,20,4,3,42,True
13,2021-03-25,2023-03-10,2023-03-13,2023-04-07,512,20,4,3,42,True
14,2021-03-25,2023-04-07,2023-04-10,2023-05-05,532,20,4,3,42,True
15,2021-03-25,2023-05-05,2023-05-08,2023-06-02,552,20,4,3,42,True
16,2021-03-25,2023-06-02,2023-06-05,2023-06-30,572,20,4,3,42,True
17,2021-03-25,2023-06-30,2023-07-03,2023-07-28,592,20,4,3,42,True
18,2021-03-25,2023-07-28,2023-07-31,2023-08-25,612,20,4,3,42,True
19,2021-03-25,2023-08-25,2023-08-28,2023-09-22,632,20,4,3,42,True
20,2021-03-25,2023-09-22,2023-09-25,2023-10-20,652,20,4,3,42,True
21,2021-03-25,2023-10-20,2023-10-23,2023-11-17,672,20,4,3,42,True
22,2021-03-25,2023-11-17,2023-11-20,2023-11-30,692,9,4,3,42,True
